GRIDID,FID_1,Id,POINT_X,POINT_Y,GRIDID_1
170272,170272,0,-82.6615714574,39.8414727725,170272
170273,170273,0,-82.603200653,39.8352169422,170273
170274,170274,0,-82.5448400224,39.828933996,170274
170275,170275,0,-82.486489607,39.8226239412,170275
170276,170276,0,-82.4281494481,39.8162867852,170276
170277,170277,0,-82.369819587,39.8099225351,170277
170278,170278,0,-82.3115000649,39.8035311983,170278
170290,170290,0,-81.6124871787,39.7247250986,170290
170291,170291,0,-81.5543057926,39.7179823137,170291
170292,170292,0,-81.4961353176,39.7112125474,170292
171084,171084,0,-82.7701611142,39.898093384,171084
171086,171086,0,-82.6533187854,39.885655217,171086
171087,171087,0,-82.5949128268,39.8793954215,171087
171088,171088,0,-82.5365170607,39.8731084941,171088
171089,171089,0,-82.4781315286,39.8667944423,171089
171090,171090,0,-82.4197562718,39.8604532733,171090
171091,171091,0,-82.3613913316,39.8540849944,171091
171092,171092,0,-82.3030367493,39.8476896129,171092
171093,171093,0,-82.2446925662,39.8412671363,171093
171094,171094,0,-82.1863588234,39.834817572,171094
171095,171095,0,-82.1280355621,39.8283409273,171095
171096,171096,0,-82.0697228234,39.8218372097,171096
171097,171097,0,-82.0114206483,39.8153064267,171097
171098,171098,0,-81.9531290779,39.8087485858,171098
171099,171099,0,-81.894848153,39.8021636946,171099
171102,171102,0,-81.720069661,39.7822467944,171102
171103,171103,0,-81.6618317272,39.7755537776,171103
171104,171104,0,-81.603604643,39.7688337484,171104
171105,171105,0,-81.5453884492,39.7620867147,171105
171106,171106,0,-81.4871831864,39.755312684,171106
171107,171107,0,-81.4289888952,39.7485116642,171107
171116,171116,0,-80.9057406652,39.6860892645,171116
171117,171117,0,-80.8476583105,39.6790187846,171117
171894,171894,0,-82.8204402762,39.9484663355,171894
171895,171895,0,-82.7619687379,39.9422840524,171895
171896,171896,0,-82.703507286,39.9360746,171896
171897,171897,0,-82.6450559622,39.9298379853,171897
171898,171898,0,-82.5866148081,39.9235742157,171898
171899,171899,0,-82.5281838652,39.9172832983,171899
171900,171900,0,-82.469763175,39.9109652405,171900
171901,171901,0,-82.4113527789,39.9046200496,171901
171902,171902,0,-82.3529527183,39.8982477328,171902
171903,171903,0,-82.2945630346,39.8918482977,171903
